TX Date,Curve_Day,TX New Cases 
7/7/2020,19,9828
7/8/2020,20,10649
7/9/2020,21,11901
7/10/2020,22,10554
7/11/2020,23,8674
7/12/2020,24,6363
7/13/2020,25,9457
7/14/2020,26,11514
7/15/2020,27,12490
7/16/2020,28,10243
7/17/2020,29,9496
7/18/2020,30,7945
7/19/2020,31,8709
7/20/2020,32,7925
7/21/2020,33,10331
7/22/2020,34,10528
7/23/2020,35,9402
7/24/2020,36,8552
7/25/2020,37,7735
7/26/2020,38,4309
7/27/2020,39,6187
7/28/2020,40,11037
7/29/2020,41,9217
7/30/2020,42,8843
7/31/2020,43,9750
8/1/2020,44,6720
8/2/2020,45,5142
8/3/2020,46,6997
8/4/2020,47,11210
8/5/2020,48,9625
8/6/2020,49,7630
8/7/2020,50,7675
