NJ Date,Curve_Day,NJ New Cases,NJ New Cases_m1_days,NJ New Cases_m2_days,NJ New Cases_m3_days,NJ New Cases_m4_days,NJ New Cases_m5_days,NJ New Cases_m6_days,NJ New Cases_m7_days,NJ Pop Pct,NJ_Pop_Pct_m1,NJ_Pop_Pct_m2,NJ_Pop_Pct_m3,NJ_Pop_Pct_m4,NJ_Pop_Pct_m5,NJ_Pop_Pct_m6,NJ_Pop_Pct_m7,NJ 3Day Avg Pop Pct,NJ 7Day Avg Pop Pct,NJ Pct Change,NJ_Pct_Change_m1,NJ_Pct_Change_m2,NJ_Pct_Change_m3,NJ_Pct_Change_m4,NJ_Pct_Change_m5,NJ_Pct_Change_m6,NJ_Pct_Change_m7,NJ 3Day Avg Pct Chg,NJ 7Day Avg Pct Chg
3/26/2020,1,2447,721,823,920,581,432,146,312,0.00026477,0.00007801,0.00008905,0.00009955,0.00006287,0.00004674,0.0000158,0.00003376,0.00014395,0.00009383,0.00018676,-0.000011037,-0.000010496,0.000036681,0.000016122,0.000030946,-0.000017962,0.000016663,0.00005508,0.000033
3/27/2020,2,1929,2447,721,823,920,581,432,146,0.00020872,0.00026477,0.00007801,0.00008905,0.00009955,0.00006287,0.00004674,0.0000158,0.00018384,0.00012139,-0.00005605,0.00018676,-0.000011037,-0.000010496,0.000036681,0.000016122,0.000030946,-0.000017962,0.00003989,0.00002756
3/28/2020,3,2276,1929,2447,721,823,920,581,432,0.00024627,0.00020872,0.00026477,0.00007801,0.00008905,0.00009955,0.00006287,0.00004674,0.00023992,0.00014989,0.00003755,-0.00005605,0.00018676,-0.000011037,-0.000010496,0.000036681,0.000016122,0.000030946,0.00005609,0.0000285
3/29/2020,4,2238,2276,1929,2447,721,823,920,581,0.00024216,0.00024627,0.00020872,0.00026477,0.00007801,0.00008905,0.00009955,0.00006287,0.00023238,0.00017551,-0.00000411,0.00003755,-0.00005605,0.00018676,-0.000011037,-0.000010496,0.000036681,0.000016122,-0.00000754,0.00002561
3/30/2020,5,3215,2238,2276,1929,2447,721,823,920,0.00034787,0.00024216,0.00024627,0.00020872,0.00026477,0.00007801,0.00008905,0.00009955,0.00027877,0.00021098,0.00010571,-0.00000411,0.00003755,-0.00005605,0.00018676,-0.000011037,-0.000010496,0.000036681,0.00004638,0.00003548
3/31/2020,6,2045,3215,2238,2276,1929,2447,721,823,0.00022127,0.00034787,0.00024216,0.00024627,0.00020872,0.00026477,0.00007801,0.00008905,0.00027044,0.00022987,-0.0001266,0.00010571,-0.00000411,0.00003755,-0.00005605,0.00018676,-0.000011037,-0.000010496,-0.00000833,0.00001889
4/1/2020,7,3528,2045,3215,2238,2276,1929,2447,721,0.00038174,0.00022127,0.00034787,0.00024216,0.00024627,0.00020872,0.00026477,0.00007801,0.00031696,0.00027326,0.00016046,-0.0001266,0.00010571,-0.00000411,0.00003755,-0.00005605,0.00018676,-0.000011037,0.00004653,0.00004339
4/2/2020,8,3321,3528,2045,3215,2238,2276,1929,2447,0.00035934,0.00038174,0.00022127,0.00034787,0.00024216,0.00024627,0.00020872,0.00026477,0.00032079,0.00028677,-0.0000224,0.00016046,-0.0001266,0.00010571,-0.00000411,0.00003755,-0.00005605,0.00018676,0.00000382,0.00001351
4/3/2020,9,4268,3321,3528,2045,3215,2238,2276,1929,0.00046181,0.00035934,0.00038174,0.00022127,0.00034787,0.00024216,0.00024627,0.00020872,0.00040096,0.00032292,0.00010247,-0.0000224,0.00016046,-0.0001266,0.00010571,-0.00000411,0.00003755,-0.00005605,0.00008018,0.00003616
4/4/2020,10,4206,4268,3321,3528,2045,3215,2238,2276,0.0004551,0.00046181,0.00035934,0.00038174,0.00022127,0.00034787,0.00024216,0.00024627,0.00042542,0.00035276,-0.00000671,0.00010247,-0.0000224,0.00016046,-0.0001266,0.00010571,-0.00000411,0.00003755,0.00002445,0.00002983
4/5/2020,11,3350,4206,4268,3321,3528,2045,3215,2238,0.00036248,0.0004551,0.00046181,0.00035934,0.00038174,0.00022127,0.00034787,0.00024216,0.00042646,0.00036995,-0.00009262,-0.00000671,0.00010247,-0.0000224,0.00016046,-0.0001266,0.00010571,-0.00000411,0.00000105,0.00001719
4/6/2020,12,3554,3350,4206,4268,3321,3528,2045,3215,0.00038455,0.00036248,0.0004551,0.00046181,0.00035934,0.00038174,0.00022127,0.00034787,0.00040071,0.00037519,0.00002207,-0.00009262,-0.00000671,0.00010247,-0.0000224,0.00016046,-0.0001266,0.00010571,-0.00002575,0.00000524
4/7/2020,13,3318,3554,3350,4206,4268,3321,3528,2045,0.00035902,0.00038455,0.00036248,0.0004551,0.00046181,0.00035934,0.00038174,0.00022127,0.00036868,0.00039486,-0.00002554,0.00002207,-0.00009262,-0.00000671,0.00010247,-0.0000224,0.00016046,-0.0001266,-0.00003203,0.00001968
4/8/2020,14,3022,3318,3554,3350,4206,4268,3321,3528,0.00032699,0.00035902,0.00038455,0.00036248,0.0004551,0.00046181,0.00035934,0.00038174,0.00035685,0.00038704,-0.00003203,-0.00002554,0.00002207,-0.00009262,-0.00000671,0.00010247,-0.0000224,0.00016046,-0.00001183,-0.00000782
4/9/2020,15,3574,3022,3318,3554,3350,4206,4268,3321,0.00038672,0.00032699,0.00035902,0.00038455,0.00036248,0.0004551,0.00046181,0.00035934,0.00035757,0.00039095,0.00005973,-0.00003203,-0.00002554,0.00002207,-0.00009262,-0.00000671,0.00010247,-0.0000224,0.00000072,0.00000391
