NY Date,Curve_Day,NY New Cases,NY New Cases_m1_days,NY New Cases_m2_days,NY New Cases_m3_days,NY New Cases_m4_days,NY New Cases_m5_days,NY New Cases_m6_days,NY New Cases_m7_days,NY Pop Pct,NY_Pop_Pct_m1,NY_Pop_Pct_m2,NY_Pop_Pct_m3,NY_Pop_Pct_m4,NY_Pop_Pct_m5,NY_Pop_Pct_m6,NY_Pop_Pct_m7,NY 3Day Avg Pop Pct,NY 7Day Avg Pop Pct,NY Pct Change,NY_Pct_Change_m1,NY_Pct_Change_m2,NY_Pct_Change_m3,NY_Pct_Change_m4,NY_Pct_Change_m5,NY_Pct_Change_m6,NY_Pct_Change_m7,NY 3Day Avg Pct Chg,NY 7Day Avg Pct Chg
3/20/2020,1,3052,2341,1342,742,235,212,107,93,0.00016231,0.000124495,0.000071368,0.00003946,0.000012497,0.000011274,0.00000569,0.000004946,0.00012,0.00006,0.00003781,0.000053127,0.000031908,0.000026962,0.000001223,0.000005584,0.000000745,0,0.00004,0.00002
3/21/2020,2,1993,3052,2341,1342,742,235,212,107,0.00010599,0.00016231,0.000124495,0.000071368,0.00003946,0.000012497,0.000011274,0.00000569,0.00013,0.00008,-0.00005632,0.00003781,0.000053127,0.000031908,0.000026962,0.000001223,0.000005584,0.000000745,0.00001,0.00001
3/22/2020,3,5440,1993,3052,2341,1342,742,235,212,0.0002893,0.00010599,0.00016231,0.000124495,0.000071368,0.00003946,0.000012497,0.000011274,0.00019,0.00012,0.00018331,-0.00005632,0.00003781,0.000053127,0.000031908,0.000026962,0.000001223,0.000005584,0.00005,0.00004
3/23/2020,4,5123,5440,1993,3052,2341,1342,742,235,0.00027244,0.0002893,0.00010599,0.00016231,0.000124495,0.000071368,0.00003946,0.000012497,0.00022,0.00015,-0.00001686,0.00018331,-0.00005632,0.00003781,0.000053127,0.000031908,0.000026962,0.000001223,0.00004,0.00004
3/24/2020,5,5516,5123,5440,1993,3052,2341,1342,742,0.00029334,0.00027244,0.0002893,0.00010599,0.00016231,0.000124495,0.000071368,0.00003946,0.00029,0.00019,0.0000209,-0.00001686,0.00018331,-0.00005632,0.00003781,0.000053127,0.000031908,0.000026962,0.00006,0.00004
3/25/2020,6,6674,5516,5123,5440,1993,3052,2341,1342,0.00035492,0.00029334,0.00027244,0.0002893,0.00010599,0.00016231,0.000124495,0.000071368,0.00031,0.00023,0.00006158,0.0000209,-0.00001686,0.00018331,-0.00005632,0.00003781,0.000053127,0.000031908,0.00002,0.00004
3/26/2020,7,6097,6674,5516,5123,5440,1993,3052,2341,0.00032424,0.00035492,0.00029334,0.00027244,0.0002893,0.00010599,0.00016231,0.000124495,0.00032,0.00026,-0.00003068,0.00006158,0.0000209,-0.00001686,0.00018331,-0.00005632,0.00003781,0.000053127,0.00002,0.00003
3/27/2020,8,7380,6097,6674,5516,5123,5440,1993,3052,0.00039247,0.00032424,0.00035492,0.00029334,0.00027244,0.0002893,0.00010599,0.00016231,0.00036,0.00029,0.00006823,-0.00003068,0.00006158,0.0000209,-0.00001686,0.00018331,-0.00005632,0.00003781,0.00003,0.00003
3/28/2020,9,7250,7380,6097,6674,5516,5123,5440,1993,0.00038556,0.00039247,0.00032424,0.00035492,0.00029334,0.00027244,0.0002893,0.00010599,0.00037,0.00033,-0.00000691,0.00006823,-0.00003068,0.00006158,0.0000209,-0.00001686,0.00018331,-0.00005632,0.00001,0.00004
3/29/2020,10,7413,7250,7380,6097,6674,5516,5123,5440,0.00039422,0.00038556,0.00039247,0.00032424,0.00035492,0.00029334,0.00027244,0.0002893,0.00039,0.00035,0.00000867,-0.00000691,0.00006823,-0.00003068,0.00006158,0.0000209,-0.00001686,0.00018331,0.00002,0.00001
