TX Date,Curve_Day,TX New Cases ,TX New Cases_m1_days,TX New Cases_m2_days,TX New Cases_m3_days,TX New Cases_m4_days,TX New Cases_m5_days,TX New Cases_m6_days,TX New Cases_m7_days,TX Pop Pct,TX_Pop_Pct_m1,TX_Pop_Pct_m2,TX_Pop_Pct_m3,TX_Pop_Pct_m4,TX_Pop_Pct_m5,TX_Pop_Pct_m6,TX_Pop_Pct_m7,TX 3Day Avg Pop Pct,TX 7Day Avg Pop Pct,TX Pct Change,TX_Pct_Change_m1,TX_Pct_Change_m2,TX_Pct_Change_m3,TX_Pct_Change_m4,TX_Pct_Change_m5,TX_Pct_Change_m6,TX_Pct_Change_m7,TX 3Day Avg Pct Chg,TX 7Day Avg Pct Chg
6/19/2020,1,4497,3357,3511,4413,2138,1339,2262,2184,0.0001504,0.00011,0.00012,0.00015,0.00007,0.00004,0.00008,0.00007,0.0001267,0.0001028,0.00003813,-0.0000052,-0.0000302,0.0000761,0.0000267,-0.0000309,0.0000026,0.0000054,0.00000094,0.00001105
6/20/2020,2,4250,4497,3357,3511,4413,2138,1339,2262,0.0001421,0.0001504,0.00011,0.00012,0.00015,0.00007,0.00004,0.00008,0.0001349,0.0001123,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.0000761,0.0000267,-0.0000309,0.0000026,0.00000824,0.0000095
6/21/2020,3,3125,4250,4497,3357,3511,4413,2138,1339,0.0001045,0.0001421,0.0001504,0.00011,0.00012,0.00015,0.00007,0.00004,0.0001324,0.0001208,-0.00003763,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.0000761,0.0000267,-0.0000309,-0.00000259,0.00000853
6/22/2020,4,5112,3125,4250,4497,3357,3511,4413,2138,0.000171,0.0001045,0.0001421,0.0001504,0.00011,0.00012,0.00015,0.00007,0.0001392,0.000135,0.00006645,-0.00003763,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.0000761,0.0000267,0.00000686,0.00001421
6/23/2020,5,5370,5112,3125,4250,4497,3357,3511,4413,0.0001796,0.000171,0.0001045,0.0001421,0.0001504,0.00011,0.00012,0.00015,0.0001517,0.0001396,0.00000863,0.00006645,-0.00003763,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.0000761,0.00001249,0.00000457
6/24/2020,6,6177,5370,5112,3125,4250,4497,3357,3511,0.0002066,0.0001796,0.000171,0.0001045,0.0001421,0.0001504,0.00011,0.00012,0.0001857,0.0001524,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.00003402,0.00001274
6/25/2020,7,5960,6177,5370,5112,3125,4250,4497,3357,0.0001993,0.0002066,0.0001796,0.000171,0.0001045,0.0001421,0.0001504,0.00011,0.0001952,0.0001648,-0.00000726,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00000826,0.00003813,-0.0000052,0.00000945,0.00001244
6/26/2020,8,5614,5960,6177,5370,5112,3125,4250,4497,0.0001878,0.0001993,0.0002066,0.0001796,0.000171,0.0001045,0.0001421,0.0001504,0.0001979,0.0001701,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00000826,0.00003813,0.00000272,0.00000534
6/27/2020,9,6079,5614,5960,6177,5370,5112,3125,4250,0.0002033,0.0001878,0.0001993,0.0002066,0.0001796,0.000171,0.0001045,0.0001421,0.0001968,0.0001789,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00000826,-0.00000109,0.00000874
6/28/2020,10,4330,6079,5614,5960,6177,5370,5112,3125,0.0001448,0.0002033,0.0001878,0.0001993,0.0002066,0.0001796,0.000171,0.0001045,0.0001786,0.0001846,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00001817,0.00000576
6/29/2020,11,6135,4330,6079,5614,5960,6177,5370,5112,0.0002052,0.0001448,0.0002033,0.0001878,0.0001993,0.0002066,0.0001796,0.000171,0.0001844,0.0001895,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00006645,0.00000581,0.00000489
6/30/2020,12,7959,6135,4330,6079,5614,5960,6177,5370,0.0002662,0.0002052,0.0001448,0.0002033,0.0001878,0.0001993,0.0002066,0.0001796,0.0002054,0.0002019,0.000061,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00002096,0.00001237
7/1/2020,13,8240,7959,6135,4330,6079,5614,5960,6177,0.0002756,0.0002662,0.0002052,0.0001448,0.0002033,0.0001878,0.0001993,0.0002066,0.000249,0.0002117,0.0000094,0.000061,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00004359,0.00000986
7/2/2020,14,7535,8240,7959,6135,4330,6079,5614,5960,0.000252,0.0002756,0.0002662,0.0002052,0.0001448,0.0002033,0.0001878,0.0001993,0.0002646,0.0002193,-0.00002358,0.0000094,0.000061,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00001561,0.00000753
7/3/2020,15,7343,7535,8240,7959,6135,4330,6079,5614,0.0002456,0.000252,0.0002756,0.0002662,0.0002052,0.0001448,0.0002033,0.0001878,0.0002577,0.0002275,-0.00000642,-0.00002358,0.0000094,0.000061,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000687,0.00000826
7/4/2020,16,5382,7343,7535,8240,7959,6135,4330,6079,0.00018,0.0002456,0.000252,0.0002756,0.0002662,0.0002052,0.0001448,0.0002033,0.0002259,0.0002242,-0.00006559,-0.00000642,-0.00002358,0.0000094,0.000061,0.00006037,-0.00005849,0.00001555,-0.00003186,-0.00000333
7/5/2020,17,5183,5382,7343,7535,8240,7959,6135,4330,0.0001733,0.00018,0.0002456,0.000252,0.0002756,0.0002662,0.0002052,0.0001448,0.0001996,0.0002283,-0.00000666,-0.00006559,-0.00000642,-0.00002358,0.0000094,0.000061,0.00006037,-0.00005849,-0.00002622,0.00000408
7/6/2020,18,9054,5183,5382,7343,7535,8240,7959,6135,0.0003028,0.0001733,0.00018,0.0002456,0.000252,0.0002756,0.0002662,0.0002052,0.0002187,0.0002422,0.00012946,-0.00000666,-0.00006559,-0.00000642,-0.00002358,0.0000094,0.000061,0.00006037,0.00001907,0.00001395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
